source,list_url,title,url
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"미국 정부, 앤트로픽 제재 중단한 법원 가처분 명령에 항소",https://www.aitimes.com/news/articleView.html?idxno=208758
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"MS, 음성·이미지 모델 MAI 시리즈 출시...&quot;내년에는 최첨단 모델 개발&quot;",https://www.aitimes.com/news/articleView.html?idxno=208751
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"구글, 로컬 에이전트를 위한 ‘젬마 4’ 4종 &apos;아파치 2.0 라이선스&apos;로 출시",https://www.aitimes.com/news/articleView.html?idxno=208746
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"오픈AI, 팟캐스트 TBPN 인수로 미디어 진출...&quot;소통 방식 바꿀 것&quot;",https://www.aitimes.com/news/articleView.html?idxno=208744
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"메타, LLM &apos;코드 검토&apos; 능력 향상하는 &apos;세미 포멀 추론&apos; 공개",https://www.aitimes.com/news/articleView.html?idxno=208708
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"오픈AI, 앤트로픽에 밀려 비상장 주식 거래 시장서 찬밥 신세",https://www.aitimes.com/news/articleView.html?idxno=208712
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"모델 선택 플랫폼 오픈라우터, 1.9조 기업 가치에 근접",https://www.aitimes.com/news/articleView.html?idxno=208722
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"메타, 소셜미디어 추천 알고리즘 개선 위한 ‘MRS 리서치’ 팀 구성",https://www.aitimes.com/news/articleView.html?idxno=208729
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"기기 스타트업 나씽, 내년에 AI 안경 출시 계획",https://www.aitimes.com/news/articleView.html?idxno=208726
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"바이두 로보택시, 시스템 오류로 운행 중단 사태",https://www.aitimes.com/news/articleView.html?idxno=208720
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"구글, 유튜브서 아동용 &apos;AI 슬롭&apos; 제거 요구받아",https://www.aitimes.com/news/articleView.html?idxno=208716
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"구글, 화면 없는 &apos;핏빗&apos; 밴드 개발 중...NBA팀과 테스트",https://www.aitimes.com/news/articleView.html?idxno=208717
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"오픈AI, 축산·항공 등 도메인 모델 개발 위해 프리랜서 대거 고용",https://www.aitimes.com/news/articleView.html?idxno=208711
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"퍼플렉시티, 메타·구글에 사용자 몰래 데이터 제공한 혐의로 집단 소송",https://www.aitimes.com/news/articleView.html?idxno=208707
